n, x, pi, p
7, 5,0.45, 0.117221491406
7, 5,0.5, 0.1640625
7, 6,0.01, 6.93e-12
7, 6,0.05, 1.0390625e-07
7, 6,0.1, 6.3e-06
7, 6,0.15, 6.777421875e-05
7, 6,0.2, 0.0003584
7, 6,0.25, 0.00128173828125
7, 6,0.3, 0.0035721
7, 6,0.35, 0.00836410859375
7, 6,0.4, 0.0172032
7, 6,0.45, 0.0319694976562
7, 6,0.5, 0.0546875
7, 7,0.01, 1e-14
7, 7,0.05, 7.8125e-10
7, 7,0.1, 1e-07
7, 7,0.15, 1.70859375e-06
7, 7,0.2, 1.28e-05
7, 7,0.25, 6.103515625e-05
7, 7,0.3, 0.0002187
7, 7,0.35, 0.00064339296875
7, 7,0.4, 0.0016384
7, 7,0.45, 0.00373669453125
7, 7,0.5, 0.0078125
8, 0,0.01, 0.922744694428
8, 0,0.05, 0.663420431289
8, 0,0.1, 0.43046721
8, 0,0.15, 0.272490525039
8, 0,0.2, 0.16777216
8, 0,0.25, 0.100112915039
8, 0,0.3, 0.05764801
8, 0,0.35, 0.0318644812891
8, 0,0.4, 0.01679616
8, 0,0.45, 0.00837339378906
8, 0,0.5, 0.00390625
8, 1,0.01, 0.0745652278326
8, 1,0.05, 0.279334918437
8, 1,0.1, 0.38263752
8, 1,0.15, 0.384692505937
8, 1,0.2, 0.33554432
8, 1,0.25, 0.266967773438
8, 1,0.3, 0.19765032
8, 1,0.35, 0.137262380938
8, 1,0.4, 0.08957952
8, 1,0.45, 0.0548076684375
8, 1,0.5, 0.03125
8, 2,0.01, 0.00263614441832
8, 2,0.05, 0.0514564323437
8, 2,0.1, 0.14880348
8, 2,0.15, 0.237604194844
8, 2,0.2, 0.29360128
8, 2,0.25, 0.311462402344
8, 2,0.3, 0.29647548
8, 2,0.35, 0.258686794844
8, 2,0.4, 0.20901888
8, 2,0.45, 0.156949232344
8, 2,0.5, 0.109375
8, 3,0.01, 5.32554427944e-05
8, 3,0.05, 0.0054164665625
8, 3,0.1, 0.03306744
8, 3,0.15, 0.0838603040625
8, 3,0.2, 0.14680064
8, 3,0.25, 0.207641601562
8, 3,0.3, 0.25412184
8, 3,0.35, 0.278585779062
8, 3,0.4, 0.27869184
8, 3,0.45, 0.256826016562
8, 3,0.5, 0.21875
8, 4,0.01, 6.72417207e-07
8, 4,0.05, 0.000356346484375
8, 4,0.1, 0.0045927
8, 4,0.15, 0.0184985964844
8, 4,0.2, 0.0458752
8, 4,0.25, 0.0865173339844
8, 4,0.3, 0.1361367
8, 4,0.35, 0.187509658984
8, 4,0.4, 0.2322432
8, 4,0.45, 0.262662971484
8, 4,0.5, 0.2734375
8, 5,0.01, 5.4336744e-09
8, 5,0.05, 1.50040625e-05
8, 5,0.1, 0.00040824
8, 5,0.15, 0.0026115665625
8, 5,0.2, 0.00917504
8, 5,0.25, 0.0230712890625
8, 5,0.3, 0.04667544
8, 5,0.35, 0.0807733915625
8, 5,0.4, 0.12386304
8, 5,0.45, 0.171924854062
8, 5,0.5, 0.21875
8, 6,0.01, 2.74428e-11
8, 6,0.05, 3.9484375e-07
8, 6,0.1, 2.268e-05
8, 6,0.15, 0.00023043234375
8, 6,0.2, 0.00114688
8, 6,0.25, 0.00384521484375
8, 6,0.3, 0.01000188
8, 6,0.35, 0.0217466823437
8, 6,0.4, 0.04128768
8, 6,0.45, 0.0703328948437
8, 6,0.5, 0.109375
8, 7,0.01, 7.92e-14
8, 7,0.05, 5.9375e-09
8, 7,0.1, 7.2e-07
8, 7,0.15, 1.16184375e-05
8, 7,0.2, 8.192e-05
8, 7,0.25, 0.0003662109375
8, 7,0.3, 0.00122472
8, 7,0.35, 0.0033456434375
8, 7,0.4, 0.00786432
8, 7,0.45, 0.0164414559375
8, 7,0.5, 0.03125
8, 8,0.01, 1e-16
8, 8,0.05, 3.90625e-11
8, 8,0.1, 1e-08
8, 8,0.15, 2.562890625e-07
8, 8,0.2, 2.56e-06
8, 8,0.25, 1.52587890625e-05
8, 8,0.3, 6.561e-05
8, 8,0.35, 0.000225187539062
8, 8,0.4, 0.00065536
8, 8,0.45, 0.00168151253906
8, 8,0.5, 0.00390625
9, 0,0.01, 0.913517247484
9, 0,0.05, 0.630249409725
9, 0,0.1, 0.387420489
9, 0,0.15, 0.231616946283
9, 0,0.2, 0.134217728
9, 0,0.25, 0.0750846862793
9, 0,0.3, 0.040353607
9, 0,0.35, 0.0207119128379
9, 0,0.4, 0.010077696
9, 0,0.45, 0.00460536658398
9, 0,0.5, 0.001953125
9, 1,0.01, 0.0830470224985
9, 1,0.05, 0.29853919408
9, 1,0.1, 0.387420489
9, 1,0.15, 0.367862208803
9, 1,0.2, 0.301989888
9, 1,0.25, 0.225254058838
9, 1,0.3, 0.155649627
9, 1,0.35, 0.100373116061
9, 1,0.4, 0.060466176
9, 1,0.45, 0.0339122448457
9, 1,0.5, 0.017578125
9, 2,0.01, 0.00335543525247
9, 2,0.05, 0.0628503566484
9, 2,0.1, 0.172186884
9, 2,0.15, 0.259667441508
9, 2,0.2, 0.301989888
9, 2,0.25, 0.300338745117
9, 2,0.3, 0.266827932
9, 2,0.35, 0.216188249977
9, 2,0.4, 0.161243136
9, 2,0.45, 0.110985528586
9, 2,0.5, 0.0703125
9, 3,0.01, 7.90843325497e-05
9, 3,0.05, 0.00771846485156
9, 3,0.1, 0.044641044
9, 3,0.15, 0.10692188768
9, 3,0.2, 0.176160768
9, 3,0.25, 0.233596801758
9, 3,0.3, 0.266827932
9, 3,0.35, 0.271621134586
9, 3,0.4, 0.250822656
9, 3,0.45, 0.211881463664
9, 3,0.5, 0.1640625
9, 4,0.01, 1.19824746287e-06
9, 4,0.05, 0.000609352488281
9, 4,0.1, 0.007440174
9, 4,0.15, 0.0283028526211
9, 4,0.2, 0.066060288
9, 4,0.25, 0.116798400879
9, 4,0.3, 0.171532242
9, 4,0.35, 0.219386301012
9, 4,0.4, 0.250822656
9, 4,0.45, 0.26003634177
9, 4,0.5, 0.24609375
9, 5,0.01, 1.2103509726e-08
9, 5,0.05, 3.20711835938e-05
9, 5,0.1, 0.000826686
9, 5,0.15, 0.00499462105078
9, 5,0.2, 0.016515072
9, 5,0.25, 0.038932800293
9, 5,0.3, 0.073513818
9, 5,0.35, 0.11813108516
9, 5,0.4, 0.167215104
9, 5,0.45, 0.212757006902
9, 5,0.5, 0.24609375
9, 6,0.01, 8.1505116e-11
9, 6,0.05, 1.1253046875e-06
9, 6,0.1, 6.1236e-05
