k, x, p
45,65.41,0.025
45,69.957,0.01
45,73.166,0.005
45,77.179,0.002
46,25.041,0.995
46,26.657,0.99
46,29.16,0.975
46,31.439,0.95
46,34.215,0.9
46,39.22,0.75
46,45.335,0.5
46,52.056,0.25
46,58.641,0.1
46,62.83,0.05
46,66.617,0.025
46,71.201,0.01
46,74.437,0.005
46,78.481,0.002
47,25.775,0.995
47,27.416,0.99
47,29.956,0.975
47,32.268,0.95
47,35.081,0.9
47,40.149,0.75
47,46.335,0.5
47,53.127,0.25
47,59.774,0.1
47,64.001,0.05
47,67.821,0.025
47,72.443,0.01
47,75.704,0.005
47,79.78,0.002
48,26.511,0.995
48,28.177,0.99
48,30.755,0.975
48,33.098,0.95
48,35.949,0.9
48,41.079,0.75
48,47.335,0.5
48,54.196,0.25
48,60.907,0.1
48,65.171,0.05
48,69.023,0.025
48,73.683,0.01
48,76.969,0.005
48,81.075,0.002
49,27.249,0.995
49,28.941,0.99
49,31.555,0.975
49,33.93,0.95
49,36.818,0.9
49,42.01,0.75
49,48.335,0.5
49,55.265,0.25
49,62.038,0.1
49,66.339,0.05
49,70.222,0.025
49,74.919,0.01
49,78.231,0.005
49,82.367,0.002
50,27.991,0.995
50,29.707,0.99
50,32.357,0.975
50,34.764,0.95
50,37.689,0.9
50,42.942,0.75
50,49.335,0.5
50,56.334,0.25
50,63.167,0.1
50,67.505,0.05
50,71.42,0.025
50,76.154,0.01
50,79.49,0.005
50,83.657,0.002
51,28.735,0.995
51,30.475,0.99
51,33.162,0.975
51,35.6,0.95
51,38.56,0.9
51,43.874,0.75
51,50.335,0.5
51,57.401,0.25
51,64.295,0.1
51,68.669,0.05
51,72.616,0.025
51,77.386,0.01
51,80.747,0.005
51,84.943,0.002
52,29.481,0.995
52,31.246,0.99
52,33.968,0.975
52,36.437,0.95
52,39.433,0.9
52,44.808,0.75
52,51.335,0.5
52,58.468,0.25
52,65.422,0.1
52,69.832,0.05
52,73.81,0.025
52,78.616,0.01
52,82.001,0.005
52,86.227,0.002
53,30.23,0.995
53,32.018,0.99
53,34.776,0.975
53,37.276,0.95
53,40.308,0.9
53,45.741,0.75
53,52.335,0.5
53,59.534,0.25
53,66.548,0.1
53,70.993,0.05
53,75.002,0.025
53,79.843,0.01
53,83.253,0.005
53,87.507,0.002
54,30.981,0.995
54,32.793,0.99
54,35.586,0.975
54,38.116,0.95
54,41.183,0.9
54,46.676,0.75
54,53.335,0.5
54,60.6,0.25
54,67.673,0.1
54,72.153,0.05
54,76.192,0.025
54,81.069,0.01
54,84.502,0.005
54,88.786,0.002
55,31.735,0.995
55,33.57,0.99
55,36.398,0.975
55,38.958,0.95
55,42.06,0.9
55,47.61,0.75
55,54.335,0.5
55,61.665,0.25
55,68.796,0.1
55,73.311,0.05
55,77.38,0.025
55,82.292,0.01
55,85.749,0.005
55,90.061,0.002
56,32.49,0.995
56,34.35,0.99
56,37.212,0.975
56,39.801,0.95
56,42.937,0.9
56,48.546,0.75
56,55.335,0.5
56,62.729,0.25
56,69.919,0.1
56,74.468,0.05
56,78.567,0.025
56,83.513,0.01
56,86.994,0.005
56,91.335,0.002
57,33.248,0.995
57,35.131,0.99
57,38.027,0.975
57,40.646,0.95
57,43.816,0.9
57,49.482,0.75
57,56.335,0.5
57,63.793,0.25
57,71.04,0.1
57,75.624,0.05
57,79.752,0.025
57,84.733,0.01
57,88.236,0.005
57,92.605,0.002
58,34.008,0.995
58,35.913,0.99
58,38.844,0.975
58,41.492,0.95
58,44.696,0.9
58,50.419,0.75
58,57.335,0.5
58,64.857,0.25
58,72.16,0.1
58,76.778,0.05
58,80.936,0.025
58,85.95,0.01
58,89.477,0.005
58,93.874,0.002
59,34.77,0.995
59,36.698,0.99
59,39.662,0.975
59,42.339,0.95
59,45.577,0.9
59,51.356,0.75
59,58.335,0.5
59,65.919,0.25
59,73.279,0.1
59,77.931,0.05
59,82.117,0.025
59,87.166,0.01
59,90.715,0.005
59,95.14,0.002
60,35.534,0.995
60,37.485,0.99
60,40.482,0.975
60,43.188,0.95
60,46.459,0.9
60,52.294,0.75
60,59.335,0.5
60,66.981,0.25
60,74.397,0.1
60,79.082,0.05
60,83.298,0.025
60,88.379,0.01
60,91.952,0.005
60,96.404,0.002
61,36.301,0.995
61,38.273,0.99
61,41.303,0.975
61,44.038,0.95
61,47.342,0.9
61,53.232,0.75
61,60.335,0.5
61,68.043,0.25
61,75.514,0.1
61,80.232,0.05
61,84.476,0.025
61,89.591,0.01
61,93.186,0.005
61,97.665,0.002
62,37.068,0.995
62,39.063,0.99
62,42.126,0.975
62,44.889,0.95
62,48.226,0.9
62,54.171,0.75
62,61.335,0.5
62,69.104,0.25
62,76.63,0.1
62,81.381,0.05
62,85.654,0.025
62,90.802,0.01
62,94.419,0.005
62,98.925,0.002
63,37.838,0.995
63,39.855,0.99
63,42.95,0.975
63,45.741,0.95
63,49.111,0.9
63,55.11,0.75
63,62.335,0.5
63,70.165,0.25
63,77.745,0.1
63,82.529,0.05
63,86.83,0.025
63,92.01,0.01
63,95.649,0.005
63,100.182,0.002
64,38.61,0.995
64,40.649,0.99
64,43.776,0.975
64,46.595,0.95
64,49.996,0.9
64,56.05,0.75
64,63.335,0.5
64,71.225,0.25
64,78.86,0.1
64,83.675,0.05
64,88.004,0.025
64,93.217,0.01
64,96.878,0.005
64,101.437,0.002
65,39.383,0.995
65,41.444,0.99
65,44.603,0.975
65,47.45,0.95
65,50.883,0.9
65,56.99,0.75
65,64.335,0.5
65,72.285,0.25
65,79.973,0.1
65,84.821,0.05
65,89.177,0.025
65,94.422,0.01
65,98.105,0.005
65,102.691,0.002
