k, x, p
200,226.021,0.1
200,233.994,0.05
200,241.058,0.025
200,249.445,0.01
200,255.264,0.005
200,262.434,0.002
201,153.112,0.995
201,157.316,0.99
201,163.63,0.975
201,169.196,0.95
201,175.771,0.9
201,187.138,0.75
201,200.334,0.5
201,214.136,0.25
201,227.085,0.1
201,235.077,0.05
201,242.156,0.025
201,250.561,0.01
201,256.393,0.005
201,263.578,0.002
202,153.984,0.995
202,158.2,0.99
202,164.532,0.975
202,170.114,0.95
202,176.707,0.9
202,188.104,0.75
202,201.334,0.5
202,215.17,0.25
202,228.149,0.1
202,236.159,0.05
202,243.254,0.025
202,251.677,0.01
202,257.521,0.005
202,264.721,0.002
203,154.856,0.995
203,159.084,0.99
203,165.435,0.975
203,171.032,0.95
203,177.643,0.9
203,189.071,0.75
203,202.334,0.5
203,216.203,0.25
203,229.213,0.1
203,237.24,0.05
203,244.351,0.025
203,252.793,0.01
203,258.649,0.005
203,265.864,0.002
204,155.728,0.995
204,159.969,0.99
204,166.338,0.975
204,171.951,0.95
204,178.58,0.9
204,190.037,0.75
204,203.334,0.5
204,217.237,0.25
204,230.276,0.1
204,238.322,0.05
204,245.448,0.025
204,253.908,0.01
204,259.777,0.005
204,267.007,0.002
205,156.601,0.995
205,160.854,0.99
205,167.241,0.975
205,172.869,0.95
205,179.516,0.9
205,191.004,0.75
205,204.334,0.5
205,218.27,0.25
205,231.34,0.1
205,239.403,0.05
205,246.545,0.025
205,255.023,0.01
205,260.904,0.005
205,268.149,0.002
206,157.474,0.995
206,161.739,0.99
206,168.144,0.975
206,173.788,0.95
206,180.453,0.9
206,191.97,0.75
206,205.334,0.5
206,219.303,0.25
206,232.403,0.1
206,240.485,0.05
206,247.642,0.025
206,256.138,0.01
206,262.031,0.005
206,269.291,0.002
207,158.347,0.995
207,162.624,0.99
207,169.047,0.975
207,174.707,0.95
207,181.39,0.9
207,192.937,0.75
207,206.334,0.5
207,220.337,0.25
207,233.466,0.1
207,241.566,0.05
207,248.739,0.025
207,257.253,0.01
207,263.158,0.005
207,270.432,0.002
208,159.221,0.995
208,163.51,0.99
208,169.951,0.975
208,175.626,0.95
208,182.327,0.9
208,193.904,0.75
208,207.334,0.5
208,221.37,0.25
208,234.529,0.1
208,242.647,0.05
208,249.835,0.025
208,258.367,0.01
208,264.285,0.005
208,271.574,0.002
209,160.095,0.995
209,164.396,0.99
209,170.855,0.975
209,176.546,0.95
209,183.264,0.9
209,194.871,0.75
209,208.334,0.5
209,222.403,0.25
209,235.592,0.1
209,243.727,0.05
209,250.931,0.025
209,259.481,0.01
209,265.411,0.005
209,272.715,0.002
210,160.969,0.995
210,165.283,0.99
210,171.759,0.975
210,177.465,0.95
210,184.201,0.9
210,195.838,0.75
210,209.334,0.5
210,223.436,0.25
210,236.655,0.1
210,244.808,0.05
210,252.027,0.025
210,260.595,0.01
210,266.537,0.005
210,273.855,0.002
211,161.843,0.995
211,166.169,0.99
211,172.664,0.975
211,178.385,0.95
211,185.139,0.9
211,196.805,0.75
211,210.334,0.5
211,224.469,0.25
211,237.717,0.1
211,245.888,0.05
211,253.122,0.025
211,261.708,0.01
211,267.662,0.005
211,274.995,0.002
212,162.718,0.995
212,167.056,0.99
212,173.568,0.975
212,179.305,0.95
212,186.076,0.9
212,197.772,0.75
212,211.334,0.5
212,225.502,0.25
212,238.78,0.1
212,246.968,0.05
212,254.218,0.025
212,262.821,0.01
212,268.788,0.005
212,276.135,0.002
213,163.593,0.995
213,167.943,0.99
213,174.473,0.975
213,180.225,0.95
213,187.014,0.9
213,198.739,0.75
213,212.334,0.5
213,226.534,0.25
213,239.842,0.1
213,248.048,0.05
213,255.313,0.025
213,263.934,0.01
213,269.912,0.005
213,277.275,0.002
214,164.469,0.995
214,168.831,0.99
214,175.378,0.975
214,181.145,0.95
214,187.952,0.9
214,199.707,0.75
214,213.334,0.5
214,227.567,0.25
214,240.904,0.1
214,249.128,0.05
214,256.408,0.025
214,265.047,0.01
214,271.037,0.005
214,278.414,0.002
215,165.344,0.995
215,169.718,0.99
215,176.283,0.975
215,182.066,0.95
215,188.89,0.9
215,200.674,0.75
215,214.334,0.5
215,228.6,0.25
215,241.966,0.1
215,250.207,0.05
215,257.503,0.025
215,266.159,0.01
215,272.162,0.005
215,279.553,0.002
216,166.22,0.995
216,170.606,0.99
216,177.189,0.975
216,182.987,0.95
216,189.828,0.9
216,201.642,0.75
216,215.334,0.5
216,229.632,0.25
216,243.028,0.1
216,251.286,0.05
216,258.597,0.025
216,267.271,0.01
216,273.286,0.005
216,280.692,0.002
217,167.096,0.995
217,171.494,0.99
217,178.095,0.975
217,183.907,0.95
217,190.767,0.9
217,202.609,0.75
217,216.334,0.5
217,230.665,0.25
217,244.09,0.1
217,252.365,0.05
217,259.691,0.025
217,268.383,0.01
217,274.409,0.005
217,281.83,0.002
218,167.973,0.995
218,172.383,0.99
218,179.001,0.975
218,184.828,0.95
218,191.705,0.9
218,203.577,0.75
218,217.334,0.5
218,231.697,0.25
218,245.151,0.1
218,253.444,0.05
218,260.785,0.025
218,269.495,0.01
218,275.533,0.005
218,282.968,0.002
219,168.85,0.995
219,173.271,0.99
219,179.907,0.975
219,185.75,0.95
219,192.644,0.9
219,204.544,0.75
219,218.334,0.5
219,232.729,0.25
219,246.213,0.1
219,254.523,0.05
219,261.879,0.025
219,270.606,0.01
219,276.656,0.005
219,284.106,0.002
220,169.727,0.995
220,174.16,0.99
220,180.813,0.975
220,186.671,0.95
220,193.582,0.9
220,205.512,0.75
220,219.334,0.5
220,233.762,0.25
220,247.274,0.1
220,255.602,0.05
220,262.973,0.025
220,271.717,0.01
220,277.779,0.005
220,285.243,0.002
221,170.604,0.995
221,175.05,0.99
221,181.72,0.975
221,187.593,0.95
221,194.521,0.9
221,206.48,0.75
221,220.334,0.5
221,234.794,0.25
221,248.335,0.1
221,256.68,0.05
221,264.066,0.025
221,272.828,0.01
221,278.902,0.005
221,286.38,0.002
222,171.482,0.995
222,175.939,0.99
222,182.627,0.975
222,188.514,0.95
222,195.46,0.9
222,207.448,0.75
222,221.334,0.5
222,235.826,0.25
222,249.396,0.1
222,257.758,0.05
222,265.159,0.025
222,273.939,0.01
222,280.024,0.005
222,287.517,0.002
223,172.36,0.995
223,176.829,0.99
223,183.534,0.975
223,189.436,0.95
223,196.4,0.9
223,208.416,0.75
223,222.334,0.5
223,236.858,0.25
223,250.457,0.1
223,258.837,0.05
223,266.252,0.025
223,275.049,0.01
223,281.146,0.005
223,288.653,0.002
224,173.238,0.995
224,177.719,0.99
224,184.441,0.975
224,190.359,0.95
224,197.339,0.9
224,209.384,0.75
224,223.334,0.5
224,237.89,0.25
224,251.517,0.1
224,259.914,0.05
224,267.345,0.025
224,276.159,0.01
224,282.268,0.005
224,289.789,0.002
225,174.116,0.995
225,178.609,0.99
225,185.348,0.975
225,191.281,0.95
225,198.278,0.9
225,210.352,0.75
225,224.334,0.5
225,238.922,0.25
225,252.578,0.1
225,260.992,0.05
225,268.438,0.025
225,277.269,0.01
225,283.39,0.005
225,290.925,0.002
226,174.995,0.995
226,179.499,0.99
226,186.256,0.975
226,192.203,0.95
226,199.218,0.9
226,211.32,0.75
226,225.334,0.5
226,239.954,0.25
226,253.638,0.1
226,262.07,0.05
226,269.53,0.025
226,278.379,0.01
226,284.511,0.005
226,292.061,0.002
227,175.874,0.995
227,180.39,0.99
227,187.164,0.975
227,193.126,0.95
227,200.158,0.9
227,212.288,0.75
227,226.334,0.5
227,240.985,0.25
227,254.699,0.1
227,263.147,0.05
227,270.622,0.025
227,279.488,0.01
227,285.632,0.005
227,293.196,0.002
228,176.753,0.995
228,181.281,0.99
228,188.072,0.975
228,194.049,0.95
228,201.097,0.9
228,213.257,0.75
228,227.334,0.5
228,242.017,0.25
228,255.759,0.1
228,264.224,0.05
228,271.714,0.025
228,280.597,0.01
228,286.753,0.005
228,294.331,0.002
229,177.633,0.995
229,182.172,0.99
229,188.98,0.975
229,194.972,0.95
229,202.037,0.9
229,214.225,0.75
229,228.334,0.5
229,243.049,0.25
229,256.819,0.1
229,265.301,0.05
229,272.806,0.025
229,281.706,0.01
229,287.874,0.005
229,295.465,0.002
230,178.512,0.995
230,183.063,0.99
230,189.889,0.975
230,195.895,0.95
230,202.978,0.9
230,215.194,0.75
230,229.334,0.5
230,244.08,0.25
230,257.879,0.1
230,266.378,0.05
230,273.898,0.025
230,282.814,0.01
230,288.994,0.005
230,296.6,0.002
231,179.392,0.995
231,183.955,0.99
231,190.797,0.975
231,196.818,0.95
231,203.918,0.9
231,216.162,0.75
231,230.334,0.5
231,245.112,0.25
231,258.939,0.1
231,267.455,0.05
231,274.989,0.025
231,283.923,0.01
231,290.114,0.005
231,297.734,0.002
232,180.273,0.995
232,184.847,0.99
232,191.706,0.975
232,197.742,0.95
232,204.858,0.9
232,217.131,0.75
232,231.334,0.5
232,246.143,0.25
232,259.998,0.1
232,268.531,0.05
232,276.08,0.025
232,285.031,0.01
232,291.234,0.005
232,298.867,0.002
233,181.153,0.995
233,185.739,0.99
233,192.615,0.975
233,198.665,0.95
233,205.799,0.9
233,218.099,0.75
233,232.334,0.5
233,247.174,0.25
233,261.058,0.1
233,269.608,0.05
233,277.171,0.025
233,286.139,0.01
233,292.353,0.005
233,300.001,0.002
234,182.034,0.995
234,186.631,0.99
234,193.524,0.975
234,199.589,0.95
234,206.739,0.9
234,219.068,0.75
234,233.334,0.5
234,248.206,0.25
234,262.117,0.1
234,270.684,0.05
234,278.262,0.025
234,287.247,0.01
234,293.472,0.005
234,301.134,0.002
235,182.915,0.995
235,187.524,0.99
235,194.434,0.975
235,200.513,0.95
235,207.68,0.9
235,220.037,0.75
235,234.334,0.5
235,249.237,0.25
235,263.176,0.1
235,271.76,0.05
235,279.352,0.025
235,288.354,0.01
235,294.591,0.005
235,302.267,0.002
236,183.796,0.995
236,188.417,0.99
236,195.343,0.975
236,201.437,0.95
236,208.621,0.9
236,221.006,0.75
236,235.334,0.5
236,250.268,0.25
236,264.235,0.1
236,272.836,0.05
236,280.443,0.025
236,289.461,0.01
236,295.71,0.005
236,303.4,0.002
237,184.678,0.995
237,189.31,0.99
237,196.253,0.975
237,202.362,0.95
237,209.562,0.9
237,221.975,0.75
237,236.334,0.5
237,251.299,0.25
237,265.294,0.1
237,273.911,0.05
237,281.533,0.025
237,290.568,0.01
237,296.828,0.005
237,304.532,0.002
238,185.56,0.995
238,190.203,0.99
238,197.163,0.975
238,203.286,0.95
238,210.503,0.9
238,222.944,0.75
238,237.334,0.5
238,252.33,0.25
238,266.353,0.1
238,274.987,0.05
238,282.623,0.025
238,291.675,0.01
238,297.947,0.005
238,305.664,0.002
239,186.442,0.995
239,191.096,0.99
239,198.073,0.975
239,204.211,0.95
239,211.444,0.9
239,223.913,0.75
239,238.334,0.5
239,253.361,0.25
239,267.412,0.1
239,276.062,0.05
239,283.713,0.025
239,292.782,0.01
239,299.065,0.005
239,306.796,0.002
240,187.324,0.995
240,191.99,0.99
240,198.984,0.975
240,205.135,0.95
240,212.386,0.9
240,224.882,0.75
240,239.334,0.5
240,254.392,0.25
240,268.471,0.1
240,277.138,0.05
240,284.802,0.025
240,293.888,0.01
240,300.182,0.005
240,307.927,0.002
241,188.207,0.995
241,192.884,0.99
241,199.894,0.975
241,206.06,0.95
241,213.327,0.9
241,225.851,0.75
241,240.334,0.5
241,255.423,0.25
241,269.529,0.1
241,278.213,0.05
241,285.892,0.025
241,294.994,0.01
241,301.3,0.005
241,309.058,0.002
242,189.09,0.995
242,193.778,0.99
242,200.805,0.975
242,206.985,0.95
242,214.269,0.9
242,226.82,0.75
242,241.334,0.5
242,256.453,0.25
242,270.588,0.1
242,279.288,0.05
242,286.981,0.025
242,296.1,0.01
242,302.417,0.005
242,310.189,0.002
243,189.973,0.995
243,194.672,0.99
243,201.716,0.975
243,207.911,0.95
243,215.21,0.9
243,227.79,0.75
243,242.334,0.5
243,257.484,0.25
243,271.646,0.1
243,280.362,0.05
243,288.07,0.025
243,297.206,0.01
243,303.534,0.005
243,311.32,0.002
244,190.856,0.995
244,195.567,0.99
244,202.627,0.975
244,208.836,0.95
244,216.152,0.9
244,228.759,0.75
244,243.334,0.5
244,258.515,0.25
244,272.704,0.1
244,281.437,0.05
244,289.159,0.025
244,298.311,0.01
244,304.651,0.005
244,312.45,0.002
245,191.739,0.995
245,196.462,0.99
245,203.539,0.975
245,209.762,0.95
245,217.094,0.9
245,229.729,0.75
245,244.334,0.5
245,259.545,0.25
245,273.762,0.1
245,282.511,0.05
245,290.248,0.025
245,299.417,0.01
245,305.767,0.005
245,313.58,0.002
246,192.623,0.995
246,197.357,0.99
246,204.45,0.975
246,210.687,0.95
246,218.036,0.9
246,230.698,0.75
246,245.334,0.5
246,260.576,0.25
246,274.82,0.1
246,283.586,0.05
246,291.336,0.025
246,300.522,0.01
246,306.883,0.005
246,314.71,0.002
247,193.507,0.995
247,198.252,0.99
247,205.362,0.975
247,211.613,0.95
247,218.979,0.9
247,231.668,0.75
247,246.334,0.5
247,261.606,0.25
247,275.878,0.1
247,284.66,0.05
247,292.425,0.025
247,301.626,0.01
247,307.999,0.005
247,315.84,0.002
248,194.391,0.995
248,199.147,0.99
248,206.274,0.975
248,212.539,0.95
248,219.921,0.9
248,232.637,0.75
248,247.334,0.5
248,262.636,0.25
248,276.935,0.1
248,285.734,0.05
248,293.513,0.025
248,302.731,0.01
248,309.115,0.005
248,316.969,0.002
249,195.276,0.995
249,200.043,0.99
249,207.186,0.975
249,213.465,0.95
249,220.863,0.9
249,233.607,0.75
249,248.334,0.5
249,263.667,0.25
249,277.993,0.1
249,286.808,0.05
249,294.601,0.025
249,303.835,0.01
249,310.231,0.005
249,318.098,0.002
250,196.161,0.995
250,200.939,0.99
250,208.098,0.975
250,214.392,0.95
250,221.806,0.9
250,234.577,0.75
250,249.334,0.5
250,264.697,0.25
250,279.05,0.1
250,287.882,0.05
250,295.689,0.025
250,304.94,0.01
250,311.346,0.005
250,319.227,0.002
300,240.663,0.995
300,245.972,0.99
300,253.912,0.975
300,260.878,0.95
300,269.068,0.9
300,283.135,0.75
300,299.334,0.5
300,316.138,0.25
300,331.789,0.1
300,341.395,0.05
300,349.874,0.025
300,359.906,0.01
300,366.844,0.005
300,375.369,0.002
350,285.608,0.995
350,291.406,0.99
350,300.064,0.975
350,307.648,0.95
350,316.55,0.9
350,331.81,0.75
350,349.334,0.5
350,367.464,0.25
350,384.306,0.1
350,394.626,0.05
350,403.723,0.025
350,414.474,0.01
350,421.9,0.005
350,431.017,0.002
400,330.903,0.995
400,337.155,0.99
400,346.482,0.975
400,354.641,0.95
400,364.207,0.9
400,380.577,0.75
400,399.334,0.5
400,418.697,0.25
400,436.649,0.1
400,447.632,0.05
400,457.305,0.025
400,468.724,0.01
400,476.606,0.005
400,486.274,0.002
450,376.483,0.995
450,383.163,0.99
450,393.118,0.975
450,401.817,0.95
450,412.007,0.9
450,429.418,0.75
450,449.334,0.5
450,469.855,0.25
450,488.849,0.1
450,500.456,0.05
450,510.67,0.025
450,522.717,0.01
450,531.026,0.005
450,541.212,0.002
500,422.303,0.995
500,429.388,0.99
500,439.936,0.975
500,449.147,0.95
500,459.926,0.9
500,478.323,0.75
500,499.333,0.5
500,520.95,0.25
500,540.93,0.1
500,553.127,0.05
500,563.852,0.025
500,576.493,0.01
500,585.207,0.005
500,595.882,0.002
550,468.328,0.995
550,475.796,0.99
550,486.91,0.975
550,496.607,0.95
550,507.947,0.9
550,527.281,0.75
550,549.333,0.5
550,571.992,0.25
550,592.909,0.1
550,605.667,0.05
550,616.878,0.025
550,630.084,0.01
550,639.183,0.005
550,650.324,0.002
600,514.529,0.995
600,522.365,0.99
600,534.019,0.975
600,544.18,0.95
600,556.056,0.9
600,576.286,0.75
600,599.333,0.5
600,622.988,0.25
600,644.8,0.1
600,658.094,0.05
600,669.769,0.025
600,683.516,0.01
600,692.982,0.005
600,704.568,0.002
650,560.885,0.995
650,569.074,0.99
650,581.245,0.975
650,591.853,0.95
650,604.242,0.9
650,625.331,0.75
650,649.333,0.5
650,673.942,0.25
650,696.614,0.1
650,710.421,0.05
650,722.542,0.025
650,736.807,0.01
650,746.625,0.005
650,758.639,0.002
700,607.38,0.995
700,615.907,0.99
700,628.577,0.975
700,639.613,0.95
700,652.497,0.9
700,674.413,0.75
700,699.333,0.5
700,724.861,0.25
700,748.359,0.1
700,762.661,0.05
700,775.211,0.025
700,789.974,0.01
700,800.131,0.005
700,812.556,0.002
750,653.997,0.995
750,662.852,0.99
750,676.003,0.975
750,687.452,0.95
750,700.814,0.9
750,723.526,0.75
750,749.333,0.5
750,775.747,0.25
750,800.043,0.1
750,814.822,0.05
750,827.785,0.025
750,843.029,0.01
750,853.514,0.005
750,866.336,0.002
800,700.725,0.995
800,709.897,0.99
800,723.513,0.975
800,735.362,0.95
800,749.185,0.9
800,772.669,0.75
800,799.333,0.5
800,826.604,0.25
800,851.671,0.1
800,866.911,0.05
800,880.275,0.025
800,895.984,0.01
800,906.786,0.005
800,919.991,0.002
850,747.554,0.995
850,757.033,0.99
850,771.099,0.975
850,783.337,0.95
850,797.607,0.9
850,821.839,0.75
850,849.333,0.5
850,877.435,0.25
850,903.249,0.1
850,918.937,0.05
850,932.689,0.025
850,948.848,0.01
850,959.957,0.005
850,973.534,0.002
900,794.475,0.995
900,804.252,0.99
900,818.756,0.975
900,831.37,0.95
900,846.075,0.9
900,871.032,0.75
900,899.333,0.5
900,928.241,0.25
900,954.782,0.1
900,970.904,0.05
900,985.032,0.025
900,1001.63,0.01
900,1013.036,0.005
900,1026.974,0.002
950,841.48,0.995
950,851.547,0.99
950,866.477,0.975
950,879.457,0.95
950,894.584,0.9
950,920.248,0.75
950,949.333,0.5
950,979.026,0.25
950,1006.272,0.1
950,1022.816,0.05
950,1037.311,0.025
950,1054.334,0.01
950,1066.031,0.005
950,1080.32,0.002
1000,888.564,0.995
1000,898.912,0.99
1000,914.257,0.975
1000,927.594,0.95
1000,943.133,0.9
1000,969.484,0.75
1000,999.333,0.5
1000,1029.79,0.25
1000,1057.724,0.1
1000,1074.679,0.05
1000,1089.531,0.025
1000,1106.969,0.01
1000,1118.948,0.005
1000,1133.579,0.002
